Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
SanBernardo,CondominioParqueBalmaceda,4,3.0,108.0,182.0,2.0,Balance,183.5,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
Buin,Calleelbosque,6,3.0,550.0,2000.0,3.0,Sucasa Gestión Inmobiliaria,560.0,10,8.8,crítico,278,243.8,crítico,682,598.1,crítico,173,151.7,medio,385,337.6,medio,39,34.2,crítico,Sur
Macul,Av.Marathon2400,4,2.0,144.0,221.0,3.0,Sucasa Gestión Inmobiliaria,265.0,4,2.9,medio,255,186.0,alto,547,399.0,alto,245,178.7,medio,867,632.5,alto,35,25.5,alto,Suroriente
Providencia,MiguelClaroconSantaIsabelProvidencia,3,2.0,229.0,248.0,2.0,Sucasa Gestión Inmobiliaria,0.01,2,1.2,medio,290,179.5,alto,906,560.8,crítico,645,399.2,crítico,1301,805.2,alto,36,22.3,alto,Nororiente
Maipú,Av.BosqueAlto3129,3,3.0,76.0,118.0,2.0,Ambiento Propiedades,134.53,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
CaleradeTango,SanJosédeTango,3,3.0,218.0,5000.0,6.0,G A M P. Propiedades,354.0,1,3.4,medio,76,257.9,crítico,138,468.3,alto,21,71.3,bajo,122,414.0,medio,6,20.4,medio,Suroriente
Buin,PastorPoncianoYañez,3,2.0,89.0,212.0,2.0,Ambiento Propiedades,135.24,10,8.8,crítico,278,243.8,crítico,682,598.1,crítico,173,151.7,medio,385,337.6,medio,39,34.2,crítico,Sur
LaFlorida,SantaJulia,6,2.0,110.0,154.0,1.0,Intermedia Propiedades,75.9,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
LasCondes,DomingoBondi/AlonsodeCamargo,4,2.0,170.0,468.0,3.0,Lorraine Landon Propiedades,533.85,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
Lampa,LaMontañaNte.3650,3,3.0,84.0,133.0,2.0,Behouse,142.36,4,3.0,medio,302,222.9,alto,646,476.9,alto,191,141.0,medio,664,490.2,medio,29,21.4,medio,Norte
SanBernardo,RinconadadeNos,2,1.0,78.0,70.0,2.0,Hernán Arriagada,77.8,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
LaFlorida,Casaenpasajecerrado,3,2.0,92.0,179.0,2.0,Punto Exacto Corredora de Propiedades Ltda.,179.73,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
EstaciónCentral,MigueldeCervantes,3,1.0,77.0,171.0,1.0,Sp Rios Propiedades,138.8,19,8.7,crítico,233,107.0,medio,542,249.0,medio,648,297.7,alto,2059,946.0,crítico,48,22.1,alto,Surponiente
LaFlorida,Lientur,4,4.0,182.0,1600.0,5.0,Sp Rios Propiedades,960.93,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
Santiago,AvenidaRicardoLyon/DiegodeAlmagro,5,3.0,254.0,490.0,4.0,Lorraine Landon Propiedades,925.34,55,10.4,crítico,488,92.6,bajo,1822,345.7,medio,1805,342.5,crítico,5993,1137.2,crítico,163,30.9,crítico,Centro
PedroAguirreCerda,Alhué3004,4,2.0,90.0,100.0,1.0,Arévalo Propiedades,115.0,9,8.5,crítico,206,193.4,alto,317,297.7,medio,232,217.8,alto,701,658.2,alto,28,26.3,alto,Sur
PuenteAlto,Abtao,3,1.0,61.0,108.0,2.0,Bissac,102.64,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
Peñalolén,AlvaroCasanova355,4,3.0,140.0,260.0,2.0,Samsara Propiedades y Asesorías,462.67,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
PadreHurtado,VillaParquedelSol,3,2.0,65.0,90.0,1.0,Mauro Propiedades,72.0,5,6.4,alto,150,192.1,alto,327,418.7,alto,96,122.9,medio,203,260.0,medio,17,21.8,medio,Surponiente
PuenteAlto,CalleCardenalFresno,3,3.0,92.0,172.0,4.0,Mauro Propiedades,140.0,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
SanBernardo,VolcánPomerape.,3,2.0,83.0,750.0,6.0,Propiedades Abarca,252.33,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
