,Sec_Centro,Sec_Nororiente,Sec_Norponiente,Sec_Norte,Sec_Sur,Sec_Suroriente,Sec_Surponiente,Dorms,Baths,Built Area,Total Area,Parking,Price_CLP_MM
249,False,False,False,False,False,False,True,5,2.0,92.0,120.0,2.0,142.0
250,False,True,False,False,False,False,False,4,3.0,200.0,700.0,3.0,832.81
251,False,False,False,False,True,False,False,3,2.0,133.0,256.0,3.0,179.2
252,False,True,False,False,False,False,False,4,4.0,225.0,504.0,4.0,765.18
253,False,True,False,False,False,False,False,4,5.0,300.0,2400.0,4.0,1672.73
254,False,True,False,False,False,False,False,10,12.0,2400.0,5061.0,15.0,4804.65
255,False,True,False,False,False,False,False,5,3.0,517.0,2977.0,5.0,1957.45
256,False,False,False,False,False,False,True,8,7.0,620.0,5000.0,12.0,990.0
257,False,True,False,False,False,False,False,4,4.0,337.0,809.0,3.0,989.4
258,False,True,False,False,False,False,False,5,3.0,153.0,193.0,2.0,540.97
259,False,True,False,False,False,False,False,5,4.0,171.0,434.0,3.0,587.24
260,False,True,False,False,False,False,False,6,5.0,260.0,1000.0,4.0,854.16
261,False,True,False,False,False,False,False,5,4.0,395.0,1050.0,4.0,925.34
262,False,True,False,False,False,False,False,7,6.0,440.0,1100.0,5.0,1743.91
263,False,True,False,False,False,False,False,3,3.0,230.0,528.0,4.0,516.05
264,False,True,False,False,False,False,False,6,5.0,170.0,350.0,4.0,498.26
265,False,False,True,False,False,False,False,4,2.0,140.0,780.0,3.0,412.84
266,False,False,True,False,False,False,False,3,3.0,112.0,261.0,2.0,232.76
267,False,True,False,False,False,False,False,6,4.0,220.0,265.0,2.0,658.42
268,False,False,False,False,False,False,True,5,2.0,127.0,210.0,2.0,170.0
269,False,True,False,False,False,False,False,2,3.0,96.0,123.0,1.0,352.34
270,False,True,False,False,False,False,False,4,4.0,275.0,921.0,5.0,711.8
271,False,True,False,False,False,False,False,4,5.0,389.0,900.0,6.0,1064.14
272,False,True,False,False,False,False,False,6,4.0,500.0,5900.0,17.0,1028.55
273,False,True,False,False,False,False,False,4,4.0,152.0,500.0,3.0,491.14
274,False,False,False,True,False,False,False,5,7.0,250.0,5000.0,4.0,530.29
275,False,True,False,False,False,False,False,8,4.0,240.0,20.0,3.0,675.5
276,False,False,False,False,False,True,False,5,4.0,140.0,256.0,2.0,316.75
277,False,False,False,False,False,True,False,4,2.0,92.0,162.0,3.0,145.0
278,False,False,False,False,False,True,False,3,3.0,90.0,150.0,1.0,186.85
279,False,False,False,False,False,True,False,4,2.0,100.0,191.0,4.0,137.0
280,False,False,False,False,False,True,False,7,7.0,450.0,4000.0,6.0,1280.88
281,False,False,False,True,False,False,False,6,5.0,370.0,5000.0,2.0,779.42
282,False,False,False,False,False,False,True,3,1.0,94.0,267.0,2.0,195.74
283,False,False,False,True,False,False,False,4,2.0,118.0,200.0,2.0,249.13
284,False,True,False,False,False,False,False,4,3.0,164.0,220.0,2.0,551.64
285,False,True,False,False,False,False,False,3,3.0,125.0,256.0,2.0,484.02
286,False,True,False,False,False,False,False,6,5.0,604.0,4720.0,8.0,1957.45
287,False,True,False,False,False,False,False,6,5.0,306.0,1137.0,5.0,1085.49
288,False,True,False,False,False,False,False,7,5.0,495.0,7200.0,11.0,1316.83
289,False,True,False,False,False,False,False,8,5.0,220.0,455.0,6.0,889.75
290,False,True,False,False,False,False,False,4,4.0,328.0,924.0,6.0,1423.6
291,False,False,False,False,False,False,True,6,3.0,183.0,282.0,2.0,200.0
292,False,True,False,False,False,False,False,4,3.0,236.0,936.0,5.0,1423.6
293,False,False,False,False,False,False,True,2,1.0,100.0,120.0,1.0,52.32
294,False,False,False,False,False,False,True,6,2.0,300.0,1500.0,5.0,850.0
295,False,True,False,False,False,False,False,4,3.0,140.0,270.0,2.0,565.88
296,False,True,False,False,False,False,False,5,4.0,205.0,480.0,2.0,694.0
297,False,True,False,False,False,False,False,5,4.0,176.0,469.0,2.0,675.85
298,False,False,False,True,False,False,False,3,2.0,180.0,254.0,2.0,230.0
299,False,True,False,False,False,False,False,8,8.0,660.0,1294.0,8.0,1600.48
300,False,True,False,False,False,False,False,7,7.0,467.0,1301.0,6.0,1939.66
301,False,True,False,False,False,False,False,3,3.0,428.0,1800.0,6.0,1323.95
302,False,True,False,False,False,False,False,5,7.0,330.0,970.0,3.0,1099.73
303,False,True,False,False,False,False,False,7,4.0,327.0,950.0,5.0,889.75
304,False,True,False,False,False,False,False,5,3.0,225.0,486.0,3.0,597.91
305,False,True,False,False,False,False,False,6,6.0,614.0,1644.0,5.0,2128.28
306,False,True,False,False,False,False,False,7,8.0,560.0,1300.0,8.0,1565.96
307,False,True,False,False,False,False,False,5,5.0,260.0,694.0,2.0,836.36
308,False,False,False,True,False,False,False,4,2.0,57.0,79.0,2.0,57.0
309,False,False,True,False,False,False,False,3,3.0,83.0,120.0,3.0,135.0
310,False,True,False,False,False,False,False,6,4.0,242.0,443.0,4.0,553.42
311,False,True,False,False,False,False,False,4,2.0,135.0,319.0,2.0,460.89
312,False,True,False,False,False,False,False,4,3.0,140.0,303.0,2.0,423.52
313,False,True,False,False,False,False,False,5,5.0,297.0,780.0,6.0,960.93
314,False,True,False,False,False,False,False,7,5.0,360.0,578.0,2.0,1281.24
315,False,True,False,False,False,False,False,6,5.0,250.0,464.0,2.0,676.21
316,False,True,False,False,False,False,False,5,3.0,170.0,210.0,2.0,498.26
317,False,True,False,False,False,False,False,4,3.0,300.0,1220.0,3.0,871.96
318,False,True,False,False,False,False,False,5,5.0,215.0,611.0,3.0,701.12
319,False,True,False,False,False,False,False,6,5.0,294.0,551.0,3.0,925.34
320,False,True,False,False,False,False,False,5,5.0,200.0,539.0,2.0,711.8
321,False,False,False,True,False,False,False,5,5.0,166.0,619.0,2.0,494.7
322,False,True,False,False,False,False,False,5,6.0,227.0,532.0,2.0,729.6
323,False,True,False,False,False,False,False,5,5.0,180.0,216.0,2.0,491.14
324,False,True,False,False,False,False,False,6,5.0,162.0,216.0,2.0,533.85
